Document_id,item_id_0,item_id_1,item_id_2,item_id_3,item_id_4,item_id_5,item_id_6,item_id_7,item_id_8,item_id_9,item_id_10,item_id_11,item_id_12
72cc4b22-0de8-4a83-ae9c-b4961b74050e,f0ba2c10-26ce-4441-8541-0c63ab65215f,,,,,,,,,,,,
501dca51-6764-47e5-9eff-9072ea71b758,dae7f992-a782-4c04-ac58-62c5272318cc,,,,,,,,,,,,
916ea22e-4016-45a2-ac43-2e0099706d72,be31f268-86db-42f8-985e-45d4a1147887,,,,,,,,,,,,
5ab63e8f-f46e-4495-98bd-cd486c1f6445,5dab871f-fd96-416f-ada3-0d17de8d9a9e,,,,,,,,,,,,
d7f0e1f5-c293-4c01-b805-89ae823e0639,5dab871f-fd96-416f-ada3-0d17de8d9a9e,,,,,,,,,,,,
a60a1182-39b4-490c-8437-24582990cafe,5e2c4a72-4336-4715-a686-707e22dd9492,,,,,,,,,,,,
dcaaba5f-96bd-42bf-b0af-a51db43e4c7a,5e2c4a72-4336-4715-a686-707e22dd9492,,,,,,,,,,,,
688b331e-f7ce-418b-bd77-8cf15a950f8a,fb1c5499-4071-4307-a2a4-14af130f9995,,,,,,,,,,,,
1e205772-e7a5-4833-ba50-7d8a895a0bff,fb1c5499-4071-4307-a2a4-14af130f9995,,,,,,,,,,,,
59746498-c863-4236-806d-3576b45904f1,bf3d9292-c437-4d79-839e-345a480a575a,,,,,,,,,,,,
21094557-9832-46d2-9b62-90858fbde3ee,bf3d9292-c437-4d79-839e-345a480a575a,,,,,,,,,,,,
6a0a2897-5d87-4657-a6de-3654e30860f5,d894bb54-31dc-49db-93a5-353aab988f1d,,,,,,,,,,,,
90df691f-6103-4648-9e71-ef0e65824b45,d894bb54-31dc-49db-93a5-353aab988f1d,,,,,,,,,,,,
9c226aac-3cfb-481b-bdce-bf4beb9117bd,b3940241-c756-4e0a-86f4-2e24ac5c15b8,,,,,,,,,,,,
05325f73-5bfb-4e8a-849b-0db342690d52,b3940241-c756-4e0a-86f4-2e24ac5c15b8,,,,,,,,,,,,
d8ef2225-bb09-4136-9dc4-73d9515c39d2,b3940241-c756-4e0a-86f4-2e24ac5c15b8,,,,,,,,,,,,
4a66e80d-c28d-41e0-9cf4-30503e0c0c65,b3940241-c756-4e0a-86f4-2e24ac5c15b8,,,,,,,,,,,,
dbef587f-ba14-408b-b291-31321beaa4b8,2d075960-29e5-4fde-8fd9-f70689d6de38,,,,,,,,,,,,
f4b0e346-7f34-4928-a8fd-e46cf90c93d8,2d075960-29e5-4fde-8fd9-f70689d6de38,,,,,,,,,,,,
51191751-7df2-4ebf-9510-bc0d1d13e5e7,1c49961c-f5dd-440e-988d-19b7867b3673,,,,,,,,,,,,
b1403f2c-4d9c-462b-9364-8611f86730e4,1c49961c-f5dd-440e-988d-19b7867b3673,,,,,,,,,,,,
b41559c6-a237-4cc1-ae87-83bda8597932,65380236-9111-4b02-89fc-0f68e85ddc8a,,,,,,,,,,,,
ffff3a5f-58f5-466f-9910-3f2866c00ee4,65380236-9111-4b02-89fc-0f68e85ddc8a,,,,,,,,,,,,
7d2816b5-b783-407e-969d-598aca901711,87f32de9-7863-4c3e-b535-d4bcf3dddaea,,,,,,,,,,,,
958df6eb-41a3-47b7-b1ad-4a48a4fdd00b,c608eb8a-622c-4c0f-bd18-1e1516c1391c,,,,,,,,,,,,
6e1dc206-1ea8-4318-bce8-e86d9d842c5a,f5c5a9b6-827d-4e15-91f6-c795513899aa,,,,,,,,,,,,
2feb37da-08b3-450c-a6e3-e5fc401ac97b,4ddcdf48-d9f1-4f60-80c9-e3931a2702bf,,,,,,,,,,,,
d1bbefcc-1ae0-434f-acb4-21a5b29dc957,4ddcdf48-d9f1-4f60-80c9-e3931a2702bf,,,,,,,,,,,,
0a0b0209-466b-446c-a46f-0f19415c8b76,01c72ccb-4456-40eb-8a8e-7aef991dcae9,,,,,,,,,,,,
f7db0def-780d-4f3c-9e18-8e026453fe2d,01c72ccb-4456-40eb-8a8e-7aef991dcae9,,,,,,,,,,,,
a30efe76-1f56-4d6c-8fa9-ce7a094ac8b5,01c72ccb-4456-40eb-8a8e-7aef991dcae9,,,,,,,,,,,,
f2de7e56-5ce3-411c-a627-45632a9496d5,f51a1cc2-1606-4023-a175-b09b73c7ca5f,,,,,,,,,,,,
ebb55309-b5ef-479c-9f19-7185fe4f4ba2,f51a1cc2-1606-4023-a175-b09b73c7ca5f,,,,,,,,,,,,
bebd97e7-e809-4632-8154-eafb6560bdb5,f51a1cc2-1606-4023-a175-b09b73c7ca5f,,,,,,,,,,,,
3e70359a-7cf6-475e-9a0b-998420a2207d,1017fda6-e0eb-4a69-9400-b6b6445d2edb,,,,,,,,,,,,
ec61b593-1aa8-4726-92df-be2f8e8ec942,1017fda6-e0eb-4a69-9400-b6b6445d2edb,,,,,,,,,,,,
528b3ddb-886b-498a-99b6-27f0582a7ab0,1017fda6-e0eb-4a69-9400-b6b6445d2edb,,,,,,,,,,,,
0b9fe8ca-e875-49dc-8309-35120c3a79d9,9b3af5fd-e90f-48a7-b90a-a5e5399ac70c,,,,,,,,,,,,
